PadID,Diversion,padDA,flume
SMI30T,NA,430.0505178,NC
STN01C,NA,13.47143554,NC
STN01T,NA,41.27502442,NC
STN02C,NA,39.82745362,NC
STN02T,NA,2.735717773,NC
STN03C,NA,33.47143555,NC
STN03T,NA,16.89019775,NC
STN04C,NA,9.125000002,NC
STN04T,NA,9.471435542,NC
STN05C,NA,96.2208252,NC
STN05T,NA,21.47143554,NC
STN06C,NA,2.735717776,NC
STN06T,NA,10.75119018,NC
STN07C,NA,13.47143555,NC
STN07T,NA,43.55517578,NC
STN08C,NA,1547.181366,NC
STN08T,NA,99.08197021,NC
STN09C,NA,28.19714355,NC
STN09T,NA,73.47143555,NC
STN10C,NA,24.51879883,NC
STN10T,NA,20.21960449,NC
STN11C,NA,5.387573243,NC
STN11T,NA,13.47143555,NC
STN12C,NA,2.735717774,NC
STN12T,NA,17.47143555,NC
STN13C,NA,131.6967163,NC
STN13T,NA,28.19714357,NC
STN14C,NA,54.11853027,NC
STN14T,NA,15.82397461,NC
STN15C,NA,9.471435556,NC
STN15T,NA,166.5343017,NC
STN16C,NA,5.471435548,NC
STN16T,NA,121.5607299,NC
STN17C,NA,5.471435549,NC
STN17T,NA,197.198883,NC
STN18C,NA,2.735717776,NC
STN18T,NA,2.735717775,NC
STN19C,NA,5.471435548,NC
STN19T,NA,2.735717774,NC
STN20C,NA,142.7104492,NC
STN20T,NA,5.471435547,NC
STN21C,NA,33.73934937,NC
STN21T,NA,5.471435546,NC
STN22C,NA,5.38757324,NC
STN22T,NA,5.387573243,NC
STN23C,NA,44.36108399,NC
STN23T,NA,8.015472416,NC
STN24C,NA,13.72283936,NC
STN24T,NA,2.735717774,NC
STN25C,NA,84.33660895,NC
STN25T,NA,2.735717774,NC
STN26C,NA,5.387573241,NC
STN26T,NA,461.7899169,NC
STN27C,NA,542.9166566,NC
STN27T,NA,141.3841859,NC
STN28C,NA,16.22949219,NC
STN28T,NA,26.88735963,NC
STN29C,NA,156.4476928,NC
STN29T,NA,264.6585999,NC
STN30C,NA,2.735717773,NC
STN30T,NA,13.47143554,NC
WHI01C,NA,2.735717771,NC
WHI01Cv,Yes,0,NC
WHI01T,NA,105.4714355,NC
WHI02C,NA,2.735717771,C
WHI02T,NA,87.50895694,C
WHI02Tv,Yes,0,C
WHI03C,NA,65.09042354,C
WHI03Cv,Yes,0,C
WHI03T,NA,60.00000011,C
WHI04C,NA,5.461425779,C
WHI04Cv,Yes,0,C
WHI04T,NA,24.00000002,C
WHI04Tv,Yes,0,C
WHI05C,NA,146.5091706,C
WHI05T,NA,2.735717774,C
WHI05Tv,Yes,0,C
WHI06C,NA,55.99999995,C
WHI06Cv,Yes,0,C
WHI06T,NA,145.0901488,C
WHI06Tv,Yes,0,C
WHI07C,NA,109.4714355,C
WHI07T,NA,114.8779755,C
WHI07Tv,Yes,0,C
WHI08C,NA,49.36302184,C
WHI08Cv,Yes,0,C
WHI08T,NA,76.12669373,C
WHI09C,NA,12,C
WHI09Cv,Yes,0,C
WHI09T,NA,11.1542511,NC
WHI09Tv,Yes,0,NC
WHI10C,NA,2.562499996,C
WHI10T,NA,9.471435543,NC
WHI11C,NA,26.73571777,C
WHI11T,NA,17.47143555,NC
WHI12C,NA,12,C
WHI12Cv,Yes,0,C
WHI12T,NA,40.71492004,NC
WHI12Tv,Yes,0,NC
WHI13C,NA,336.4718933,C
WHI13T,NA,86.86560061,NC
WHI14C,NA,101.4714355,C
WHI14Cv,Yes,0,C
WHI14T,NA,13.47143554,C
WHI14Tv,Yes,0,C
WHI15C,NA,86.24761966,C
WHI15Cv,Yes,0,C
WHI15T,NA,136.0323182,C
WHI16C,NA,114.8779755,C
WHI16T,NA,312.528473,C
WHI16Tv,Yes,0,C
WHI17C,NA,2088.360672,C
WHI17Cv,Yes,0,C
WHI17T,NA,332.3114317,C
WHI17Tv,Yes,0,C
WHI18C,NA,61.52510068,C
WHI18Cv,Yes,0,C
WHI18T,NA,39.30859371,C
WHI18Tv,Yes,0,C
WHI19C,NA,75.99999993,C
WHI19Cv,Yes,0,C
WHI19T,NA,23.99999998,NC
WHI19Tv,Yes,0,C
WHI20C,NA,2.73571777,NC
WHI20T,NA,2.735717771,NC
WHI21C,NA,10.98153686,NC
WHI21Cv,Yes,0,NC
WHI21T,NA,70.02767945,NC
WHI22C,NA,2.735717775,NC
WHI22T,NA,2.735717774,NC
WHI22Tv,Yes,0,NC
WHI23C,NA,149.8493652,C
WHI23Cv,Yes,0,C
WHI23T,NA,2.735717775,NC
WHI24C,NA,297.4228975,C
WHI24T,NA,439.1239317,NC
WHI24Tv,Yes,0,NC
WHI25C,NA,2.735717771,C
WHI25T,NA,79.40234369,C
WHI25Tv,Yes,0,C
WHI26C,NA,498.8407593,C
WHI26Cv,Yes,0,C
WHI26T,NA,56.5219116,NC
WHI26Tv,Yes,0,NC
WHI27C,NA,966.6287689,C
WHI27Cv,Yes,0,C
WHI27T,NA,28.89157106,NC
WHI27Tv,Yes,0,NC
WHI28C,NA,74.73571777,C
WHI28Cv,Yes,0,C
WHI28T,NA,116.5169677,NC
WHI29C,NA,822.7639619,C
WHI29Cv,Yes,0,C
WHI29T,NA,146.7357178,NC
WHI29Tv,Yes,0,NC
WHI30C,NA,143.0041046,NC
WHI30T,NA,119.4868469,NC
WOR01C,NA,5.400665285,C
WOR01T,NA,29.46875,NC
WOR02C,NA,2.734375001,C
WOR02Cv,Yes,0,C
WOR02T,NA,45.46875,NC
WOR03C,NA,6.006835937,C
WOR03Cv,Yes,0,C
WOR03T,NA,21.296875,NC
WOR04C,NA,22.56851198,C
WOR04T,NA,19.99999998,NC
WOR05C,NA,2.734375001,C
WOR05Cv,Yes,0,C
WOR05T,NA,35.99999996,NC
WOR06C,NA,5.46875,C
WOR06Cv,Yes,0,C
WOR06T,NA,104.0281372,NC
WOR07C,NA,66.23846436,C
WOR07T,NA,54.47302244,NC
WOR08C,NA,18.59552,C
WOR08Cv,Yes,0,C
WOR08T,NA,41.37890625,NC
WOR09C,NA,2.734374997,NC
WOR09T,NA,36.13504028,NC
WOR10C,NA,5.400665277,NC
WOR10Cv,Yes,0,NC
WOR10T,NA,22.16851807,NC
WOR11C,NA,22.76562504,NC
WOR11Cv,Yes,0,NC
WOR11T,NA,2.734375001,NC
WOR12C,NA,4.648437511,NC
WOR12Cv,Yes,0,C
