Year,SiteID,Time,weight,PadID,Days,Treatment,Position,flume,Diversion
2018,RHO,1,2.28,RHO08T,22,strips,top,C,
2018,RHO,2,4.98,RHO08T,14,strips,top,C,
2018,RHO,3,1.36,RHO08T,12,strips,top,C,
2019,RHO,1,33.5909,RHO08T,12,strips,top,C,
2019,RHO,2,13.6159,RHO08T,16,strips,top,C,
2019,RHO,3,10.4233,RHO08T,13,strips,top,C,
2016,RHO,1,6.03,RHO09C,22,control,top,NC,
2016,RHO,2,4.1,RHO09C,21,control,top,NC,
2017,RHO,1,81.95,RHO09C,23,control,top,NC,
2017,RHO,2,49.47,RHO09C,19,control,top,NC,
2017,RHO,3,45.83,RHO09C,28,control,top,NC,
2018,RHO,1,1.49,RHO09C,22,control,top,NC,
2018,RHO,2,2.42,RHO09C,14,control,top,NC,
2018,RHO,3,5.89,RHO09C,12,control,top,NC,
2019,RHO,1,119.9301,RHO09C,12,control,top,NC,
2019,RHO,2,83.5301,RHO09C,16,control,top,NC,
2019,RHO,3,65.2301,RHO09C,13,control,top,NC,
2016,RHO,1,3.19,RHO09T,22,strips,top,C,
2016,RHO,2,6.37,RHO09T,21,strips,top,C,
2017,RHO,1,4.55,RHO09T,23,strips,top,C,
2017,RHO,2,0.87,RHO09T,19,strips,top,C,
2017,RHO,3,1.07,RHO09T,28,strips,top,C,
2018,RHO,1,1.2,RHO09T,22,strips,top,C,
2018,RHO,2,10.75,RHO09T,14,strips,top,C,
2018,RHO,3,9.17,RHO09T,12,strips,top,C,
2019,RHO,1,3.8245,RHO09T,12,strips,top,C,
2019,RHO,2,9.4267,RHO09T,16,strips,top,C,
2019,RHO,3,5.8452,RHO09T,13,strips,top,C,
2016,RHO,1,4.59,RHO10C,22,control,top,NC,
2016,RHO,2,20.58,RHO10C,21,control,top,NC,
2017,RHO,1,4.79,RHO10C,23,control,top,NC,
2017,RHO,2,2.18,RHO10C,19,control,top,NC,
2017,RHO,3,4.52,RHO10C,28,control,top,NC,
2018,RHO,1,4.58,RHO10C,22,control,top,NC,
2018,RHO,2,16.34,RHO10C,14,control,top,NC,
2018,RHO,3,1.91,RHO10C,12,control,top,NC,
2019,RHO,1,14.7233,RHO10C,12,control,top,NC,
2019,RHO,2,7.7208,RHO10C,16,control,top,NC,
2019,RHO,3,38.6905,RHO10C,13,control,top,NC,
2016,RHO,1,5.71,RHO10T,22,strips,top,NC,
2016,RHO,2,2.05,RHO10T,21,strips,top,NC,
2017,RHO,1,9.93,RHO10T,23,strips,top,NC,
2017,RHO,2,1.7,RHO10T,19,strips,top,NC,
2017,RHO,3,8.59,RHO10T,28,strips,top,NC,
2018,RHO,1,1.1,RHO10T,22,strips,top,NC,
2018,RHO,2,7.14,RHO10T,14,strips,top,NC,
2018,RHO,3,1.8,RHO10T,12,strips,top,NC,
2019,RHO,1,21.7623,RHO10T,12,strips,top,NC,
2019,RHO,2,10.0122,RHO10T,16,strips,top,NC,
2019,RHO,3,5.4675,RHO10T,13,strips,top,NC,
2016,RHO,1,9.94,RHO11C,22,control,middle,NC,
2016,RHO,2,4.3,RHO11C,21,control,middle,NC,
2017,RHO,1,104.96,RHO11C,23,control,middle,NC,
2017,RHO,2,44.12,RHO11C,19,control,middle,NC,
2017,RHO,3,36.74,RHO11C,28,control,middle,NC,
2018,RHO,1,1.55,RHO11C,22,control,middle,NC,
2018,RHO,2,53.13,RHO11C,14,control,middle,NC,
2018,RHO,3,28.92,RHO11C,12,control,middle,NC,
2019,RHO,1,13.8338,RHO11C,12,control,middle,NC,
2019,RHO,2,5.0547,RHO11C,16,control,middle,NC,
2019,RHO,3,5.6638,RHO11C,13,control,middle,NC,
2016,RHO,1,5.89,RHO11T,22,strips,middle,NC,
2016,RHO,2,4.59,RHO11T,21,strips,middle,NC,
2017,RHO,1,8.87,RHO11T,23,strips,middle,NC,
2017,RHO,2,0.07,RHO11T,19,strips,middle,NC,
2017,RHO,3,35.63,RHO11T,28,strips,middle,NC,
2018,RHO,1,1.33,RHO11T,22,strips,middle,NC,
2018,RHO,2,24.37,RHO11T,14,strips,middle,NC,
2018,RHO,3,14.89,RHO11T,12,strips,middle,NC,
2019,RHO,1,119.7934,RHO11T,12,strips,middle,NC,
2019,RHO,2,24.4069,RHO11T,16,strips,middle,NC,
2019,RHO,3,29.4419,RHO11T,13,strips,middle,NC,
2016,RHO,1,3.71,RHO12C,22,control,middle,NC,
2016,RHO,2,4.92,RHO12C,21,control,middle,NC,
2017,RHO,1,47.04,RHO12C,23,control,middle,NC,
2017,RHO,2,12.11,RHO12C,19,control,middle,NC,
2017,RHO,3,6.04,RHO12C,28,control,middle,NC,
2018,RHO,1,1.07,RHO12C,22,control,middle,NC,
2018,RHO,2,59.37,RHO12C,14,control,middle,NC,
2018,RHO,3,8.04,RHO12C,12,control,middle,NC,
2019,RHO,1,72.0757,RHO12C,12,control,middle,NC,
2019,RHO,2,49.9757,RHO12C,16,control,middle,NC,
2019,RHO,3,63.3757,RHO12C,13,control,middle,NC,
2016,RHO,1,9.99,RHO12T,22,strips,middle,C,
2016,RHO,2,7.89,RHO12T,21,strips,middle,C,
2017,RHO,1,1.95,RHO12T,23,strips,middle,C,
2017,RHO,2,0.89,RHO12T,19,strips,middle,C,
2017,RHO,3,2.08,RHO12T,28,strips,middle,C,
2018,RHO,1,1.4,RHO12T,22,strips,middle,C,
2018,RHO,2,4.69,RHO12T,14,strips,middle,C,
2018,RHO,3,3.66,RHO12T,12,strips,middle,C,
2019,RHO,1,5.2088,RHO12T,12,strips,middle,C,
2019,RHO,2,5.1845,RHO12T,16,strips,middle,C,
2019,RHO,3,9.0564,RHO12T,13,strips,middle,C,
2016,RHO,1,3.66,RHO13C,22,control,middle,NC,
2016,RHO,2,6.08,RHO13C,21,control,middle,NC,
2017,RHO,1,352,RHO13C,23,control,middle,NC,
2017,RHO,2,38.23,RHO13C,19,control,middle,NC,
2017,RHO,3,84.49,RHO13C,28,control,middle,NC,
2018,RHO,1,4.56,RHO13C,22,control,middle,NC,
2018,RHO,2,41.76,RHO13C,14,control,middle,NC,
2018,RHO,3,13.31,RHO13C,12,control,middle,NC,
2019,RHO,1,178.8353,RHO13C,12,control,middle,NC,
2019,RHO,2,51.1353,RHO13C,16,control,middle,NC,
2019,RHO,3,74.3353,RHO13C,13,control,middle,NC,
2016,RHO,1,6.91,RHO13T,22,strips,middle,C,
2016,RHO,2,0.17,RHO13T,21,strips,middle,C,
2017,RHO,1,13.81,RHO13T,23,strips,middle,C,
2017,RHO,2,,RHO13T,19,strips,middle,C,
2017,RHO,3,5.19,RHO13T,28,strips,middle,C,
2018,RHO,1,1.84,RHO13T,22,strips,middle,C,
2018,RHO,2,3.59,RHO13T,14,strips,middle,C,
2018,RHO,3,2.57,RHO13T,12,strips,middle,C,
2019,RHO,1,31.7789,RHO13T,12,strips,middle,C,
2019,RHO,2,13.6423,RHO13T,16,strips,middle,C,
2019,RHO,3,20.7892,RHO13T,13,strips,middle,C,
2016,RHO,1,8.04,RHO14C,22,control,middle,C,
2016,RHO,2,4.78,RHO14C,21,control,middle,C,
2017,RHO,1,42.53,RHO14C,23,control,middle,C,
2017,RHO,2,57.52,RHO14C,19,control,middle,C,
2017,RHO,3,287.45,RHO14C,28,control,middle,C,
2018,RHO,1,1.48,RHO14C,22,control,middle,C,
2018,RHO,2,118.93,RHO14C,14,control,middle,C,
2018,RHO,3,7.96,RHO14C,12,control,middle,C,
2019,RHO,1,100.8764,RHO14C,12,control,middle,C,
2019,RHO,2,35.8353,RHO14C,16,control,middle,C,
2019,RHO,3,114.4764,RHO14C,13,control,middle,C,
2016,RHO,1,1.53,RHO14T,22,strips,middle,C,
2016,RHO,2,4.73,RHO14T,21,strips,middle,C,
2017,RHO,1,61.51,RHO14T,23,strips,middle,C,
2017,RHO,2,71.08,RHO14T,19,strips,middle,C,
2017,RHO,3,17.75,RHO14T,28,strips,middle,C,
2018,RHO,1,1.09,RHO14T,22,strips,middle,C,
2018,RHO,2,69.93,RHO14T,14,strips,middle,C,
2018,RHO,3,32.51,RHO14T,12,strips,middle,C,
2019,RHO,1,15.9321,RHO14T,12,strips,middle,C,
2019,RHO,2,9.178,RHO14T,16,strips,middle,C,
2019,RHO,3,52.2406,RHO14T,13,strips,middle,C,
2016,RHO,1,8.38,RHO15C,22,control,middle,C,
2016,RHO,2,3.61,RHO15C,21,control,middle,C,
2017,RHO,1,16.06,RHO15C,23,control,middle,C,
2017,RHO,2,110.71,RHO15C,19,control,middle,C,
2017,RHO,3,36.01,RHO15C,28,control,middle,C,
2018,RHO,1,1.52,RHO15C,22,control,middle,C,
2018,RHO,2,232.48,RHO15C,14,control,middle,C,
2018,RHO,3,160.33,RHO15C,12,control,middle,C,
2019,RHO,1,27.2913,RHO15C,12,control,middle,C,
2019,RHO,2,14.4229,RHO15C,16,control,middle,C,
2019,RHO,3,18.5899,RHO15C,13,control,middle,C,
2016,RHO,1,3.24,RHO15T,22,strips,middle,NC,
2016,RHO,2,5.09,RHO15T,21,strips,middle,NC,
2017,RHO,1,14.33,RHO15T,23,strips,middle,NC,
2017,RHO,2,33.41,RHO15T,19,strips,middle,NC,
2017,RHO,3,30.83,RHO15T,28,strips,middle,NC,
2018,RHO,1,1.97,RHO15T,22,strips,middle,NC,
2018,RHO,2,117.35,RHO15T,14,strips,middle,NC,
2018,RHO,3,49.76,RHO15T,12,strips,middle,NC,
2019,RHO,1,70.3335,RHO15T,12,strips,middle,NC,
2019,RHO,2,7.6859,RHO15T,16,strips,middle,NC,
2019,RHO,3,13.3442,RHO15T,13,strips,middle,NC,
2016,RHO,1,3.31,RHO16C,22,control,middle,C,
2016,RHO,2,7.45,RHO16C,21,control,middle,C,
2017,RHO,1,94.32,RHO16C,23,control,middle,C,
2017,RHO,2,20.96,RHO16C,19,control,middle,C,
2017,RHO,3,8.78,RHO16C,28,control,middle,C,
2018,RHO,1,3.98,RHO16C,22,control,middle,C,
2018,RHO,2,54.48,RHO16C,14,control,middle,C,
2018,RHO,3,15.14,RHO16C,12,control,middle,C,
2019,RHO,1,42.1566,RHO16C,12,control,middle,C,
2019,RHO,2,19.6427,RHO16C,16,control,middle,C,
2019,RHO,3,18.2384,RHO16C,13,control,middle,C,
2016,RHO,1,5.42,RHO16T,22,strips,middle,NC,
2016,RHO,2,1.1,RHO16T,21,strips,middle,NC,
2017,RHO,1,3.73,RHO16T,23,strips,middle,NC,
2017,RHO,2,0.84,RHO16T,19,strips,middle,NC,
2017,RHO,3,1.71,RHO16T,28,strips,middle,NC,
2018,RHO,1,0.98,RHO16T,22,strips,middle,NC,
2018,RHO,2,19.21,RHO16T,14,strips,middle,NC,
2018,RHO,3,4.27,RHO16T,12,strips,middle,NC,
2019,RHO,1,151.1175,RHO16T,12,strips,middle,NC,
2019,RHO,2,9.2382,RHO16T,16,strips,middle,NC,
2019,RHO,3,19.8695,RHO16T,13,strips,middle,NC,
2016,RHO,1,4.09,RHO17C,22,control,middle,NC,
2016,RHO,2,7.57,RHO17C,21,control,middle,NC,
2017,RHO,1,15.18,RHO17C,23,control,middle,NC,
2017,RHO,2,36.32,RHO17C,19,control,middle,NC,
2017,RHO,3,8.34,RHO17C,28,control,middle,NC,
2018,RHO,1,3.39,RHO17C,22,control,middle,NC,
2018,RHO,2,5.51,RHO17C,14,control,middle,NC,
2018,RHO,3,2.61,RHO17C,12,control,middle,NC,
2019,RHO,1,18.5612,RHO17C,12,control,middle,NC,
2019,RHO,2,11.6295,RHO17C,16,control,middle,NC,
2019,RHO,3,9.8107,RHO17C,13,control,middle,NC,
2016,RHO,1,18.2,RHO17T,22,strips,middle,NC,
2016,RHO,2,61.04,RHO17T,21,strips,middle,NC,
2017,RHO,1,6.44,RHO17T,23,strips,middle,NC,
2017,RHO,2,13.56,RHO17T,19,strips,middle,NC,
2017,RHO,3,8.8,RHO17T,28,strips,middle,NC,
